question,answer
Which player scored the most points in a single game between 2018 and 2024?,A'ja Wilson & Liz Cambage
Which team had the highest average points per game in the 2021 season?,Las Vegas Aces
How many games ended in overtime during the 2023 season?,11
Which player had the highest free throw percentage in the 2020 season (min. 25 FTâ€™s attempted)?,Tiffany Mitchell
What was the win-loss record of the Seattle Storm in the 2022 season?,25 - 17
Which team had the longest winning streak in the 2019 season (inclusive of postseason)?,Washington Mystics (8 wins)
"How many triple-doubles were recorded in the WNBA between 2018 and 2024, and who had the most triple-doubles?","29 total triple doubles, and Alyssa Thomas had the most (with 12)"
Which team had the best defense in the 2024 season (by opponent points)?,Connecticut Sun
Identify the game with the highest combined score (both teams) from 2018 to 2024.,"07/12/2022, Phoenix Mercury @ Minnesota Lynx"
Which player played the most minutes in the 2021 season?,Skylar Diggins-Smith
What is the average attendance for games in the 2020 season?,"1.381 (note: all games had 0 attendance, but one game which had attendance of 203)"
Which player had the highest number of assists in a single game during the 2019 season?,Courtney Vandersloot
How many times did the Chicago Sky make it to the playoffs between 2018 and 2024?,5
What was the average margin of victory for the Las Vegas Aces in the 2022 season?,6.51 points
Which player had the most steals in the 2023 season?,Brittney Sykes
Identify the top 5 games with the highest attendance between 2018 and 2024.,"06/07/2024, Indiana Fever @ Washington Mystics; 05/25/2024, Indiana Fever @ Los Angeles Sparks;
08/05/2018, Phoenix Mercury @ Los Angeles Sparks; 05/23/2024, Indiana Fever @ Seattle Storm; 08/07/2022, Las Vegas Aces @ Seattle Storm"
What is the average number of three-point shots made per game by each team in the 2023 season?,Atlanta Dream: 6.425; Chicago Sky: 8.25; Connecticut Sun: 7.175; Dallas Wings: 6.75; Indiana Fever: 6.725; Las Vegas Aces: 9.275; Los Angeles Sparks: 6.5; Minnesota Lynx: 6.75; New York Liberty: 11.1; Phoenix Mercury: 6.775; Seattle Storm: 8.5; Washington Mystics: 7.75
Which games had the most technical fouls called between 2018 and 2024?,"06/20/2023, Atlanta Dream @ Dallas Wings; 07/19/2018, New York Liberty @ Atlanta Dream; 06/12/2021, Los Angeles Sparks @ Minnesota Lynx"
Who were the top 3 rebounders in the 2021 season?,Brianna Turner; Brittney Griner; Jonquel Jones
What was the total number of blocks by Brittney Griner in the 2023 season?,52
How did the average points per game of the top 3 scorers change each season from 2018 to 2024?,Average points per game increased over the 6 seasons for the top 3 scorers from 2018 to 2024. Below are the top 3 scorers for 2018 (and ppg): Liz Cambage 22.647059; Breanna Stewart 22.069767; A'ja Wilson 20.588235. Below are the top 3 scorers for 2024 (and ppg): A'ja Wilson 28.636364; Arike Ogunbowale 26.181818; Kahleah Copper 23.538462
Which team had the highest average home game attendance in the 2021 season?,Phoenix Mercury
What was the average plus-minus of players who played more than 30 minutes per game in the 2022 season?,1.24
Which player had the highest scoring average in games where their team lost during the 2020 season?,Arike Ogunbowale
Compare the shooting percentages of three-point shots versus two-point shots for the top 5 scorers in the 2023 season.,Athlete FG% 3 Pt %: A'ja Wilson 0.552972 0.324324; Breanna Stewart 0.437360 0.327526; Jewell Loyd 0.372475 0.363372; Arike Ogunbowale 0.395189 0.339332; Kelsey Plum 0.466374 0.397554